Temperature,Revenue,Product
24.56688442,534.7990284,Product 1
26.00519115,625.1901215,Product 1
27.79055388,660.6322888,Product 1
20.59533505,487.7069603,Product 1
11.50349764,316.2401944,Product 1
14.35251388,367.9407438,Product 1
13.70777988,308.8945179,Product 1
30.83398474,696.7166402,Product 1
0.976869989,55.39033824,Product 1
31.66946458,737.8008241,Product 1
11.45525338,325.9684084,Product 1
3.664669577,71.16015301,Product 1
18.81182403,467.4467066,Product 1
13.62450892,289.5409341,Product 1
39.53990899,905.4776043,Product 1
18.48314099,469.9090332,Product 1
25.93537514,648.2099977,Product 1
42.51528041,921.508275,Product 1
29.58948056,649.5611747,Product 1
21.77594799,534.6228653,Product 1
25.45783637,612.1539491,Product 1
15.21456942,353.3256334,Product 1
22.61931574,524.2361154,Product 1
16.25872074,374.231135,Product 1
23.88172478,523.1245467,Product 1
18.97830025,473.6043349,Product 1
15.6614643,402.4553204,Product 1
29.18504465,679.3177906,Product 1
19.02461092,517.5340283,Product 1
35.12015142,809.6720534,Product 1
24.18393726,528.3804165,Product 1
15.23119012,356.0980075,Product 1
8.790952808,237.7639106,Product 1
18.23322784,418.1372788,Product 1
35.62892497,809.4634112,Product 1
37.05754246,870.7659159,Product 1
22.28455032,550.2785159,Product 1
17.51707397,405.6614459,Product 1
31.7379196,740.9356848,Product 1
17.04973761,501.7329901,Product 1
23.0034888,539.6880057,Product 1
8.755553938,242.2362083,Product 1
18.77535808,421.621505,Product 1
14.10966102,358.0028493,Product 1
18.63391286,467.631063,Product 1
15.67648661,396.9356482,Product 1
20.94791347,500.9250645,Product 1
30.6353071,651.8615363,Product 1
20.47359412,451.4507843,Product 1
31.22898848,697.8339862,Product 1
6.393834627,190.7109408,Product 1
27.18581031,621.1897304,Product 1
28.63373276,666.1368355,Product 1
27.99922248,628.4532107,Product 1
10.32638937,219.3039932,Product 1
27.31281141,623.5988607,Product 1
33.23567229,749.3671543,Product 1
36.56911506,827.6848313,Product 1
12.46293731,303.7343815,Product 1
14.37969698,351.2888691,Product 1
16.30255473,381.5641352,Product 1
11.56964367,321.8482734,Product 1
33.55141872,774.1080813,Product 1
3.986523168,131.6570175,Product 1
20.51163741,498.7570498,Product 1
6.542514397,195.7357217,Product 1
19.81753939,496.0112948,Product 1
11.69453767,284.7727889,Product 1
21.4881766,483.4897686,Product 1
18.77353222,430.3439033,Product 1
12.68842965,276.787086,Product 1
27.88711086,627.2912952,Product 1
26.9567197,643.6486011,Product 1
27.37540101,623.2487008,Product 1
24.10161613,586.150568,Product 1
28.7901015,653.9867356,Product 1
40.47398918,918.3912316,Product 1
25.54596553,591.1733898,Product 1
28.70127646,651.1862423,Product 1
29.4637861,682.7528689,Product 1
16.02097541,372.9906055,Product 1
14.73955066,381.8030138,Product 1
22.17119887,515.4591017,Product 1
29.03573877,685.3623881,Product 1
29.20971484,654.7474611,Product 1
16.36494499,406.5792487,Product 1
27.78049953,643.9443266,Product 1
13.33060576,344.6887652,Product 1
29.3050392,642.2272909,Product 1
14.3840835,361.1191443,Product 1
30.42779184,704.2814391,Product 1
9.073838248,222.8723171,Product 1
23.07061587,543.5995933,Product 1
8.586948141,221.2232906,Product 1
12.35208102,337.1190252,Product 1
9.018860236,212.5917401,Product 1
20.26501213,474.7493924,Product 1
19.36315346,460.4025002,Product 1
14.6859445,343.3629045,Product 1
9.95435701,283.8343266,Product 1
19.97746731,468.9751034,Product 1
32.00416835,711.1740653,Product 1
14.28719594,322.592741,Product 1
17.65850231,401.4330183,Product 1
26.59505405,627.9018411,Product 1
17.26218112,415.8176744,Product 1
23.76143592,553.4452906,Product 1
15.58806128,362.5152155,Product 1
28.43656665,643.7883311,Product 1
27.72739922,651.5043041,Product 1
25.41930193,603.0371179,Product 1
18.4750345,427.2113597,Product 1
24.24311263,565.8749999,Product 1
31.66848495,733.215828,Product 1
17.69003162,385.6725008,Product 1
31.8914678,689.930778,Product 1
25.925171,572.0812915,Product 1
29.31201255,719.4717014,Product 1
11.05909651,306.7499304,Product 1
25.49662411,596.2366902,Product 1
22.94031709,540.798122,Product 1
12.90177331,341.8593529,Product 1
28.26283094,655.4339792,Product 1
30.56266124,702.9017171,Product 1
12.57151377,319.3494624,Product 1
19.05928653,450.4732071,Product 1
15.99234716,382.0739541,Product 1
26.18796989,674.1506442,Product 1
31.41262876,731.5982226,Product 1
32.29733128,751.0545702,Product 1
21.6967827,496.0119175,Product 1
20.47502254,417.3548387,Product 1
19.43326763,448.4713348,Product 1
20.12955049,477.2950539,Product 1
6.093897205,158.8498064,Product 1
22.84197048,516.5486011,Product 1
24.58590837,599.3649136,Product 1
28.54798741,656.6365226,Product 1
19.77936855,507.35681,Product 1
12.4508333,279.866148,Product 1
36.70257212,841.1714271,Product 1
19.62265889,483.3330784,Product 1
32.40924246,739.3872716,Product 1
19.26778542,486.4749845,Product 1
19.72807749,456.524341,Product 1
8.638075893,241.2785475,Product 1
29.43057848,618.2357655,Product 1
19.25165371,446.9466515,Product 1
24.61523866,603.0913818,Product 1
12.44265041,274.0656189,Product 1
24.54855656,531.7424848,Product 1
12.20968364,297.4991195,Product 1
12.26588434,319.4029032,Product 1
19.75470829,493.7103332,Product 1
23.34903419,586.1387673,Product 1
21.14404693,497.7523178,Product 1
18.88035599,476.7945251,Product 1
28.2717647,625.8046425,Product 1
16.40602096,390.4033487,Product 1
28.99373705,675.8289158,Product 1
10.24505765,273.0733418,Product 1
11.07784312,280.5184674,Product 1
25.49968375,583.0844489,Product 1
27.93134811,648.5546445,Product 1
28.4595428,726.2337713,Product 1
13.30179635,335.8156867,Product 1
25.99599345,570.5778753,Product 1
32.80503252,685.6546554,Product 1
32.71638067,775.7228577,Product 1
32.10707989,773.9247547,Product 1
24.77867495,540.9775109,Product 1
15.02911176,366.2477143,Product 1
23.42464718,539.5277397,Product 1
35.21724007,809.7777259,Product 1
16.37957324,376.5544719,Product 1
20.55667911,477.8417185,Product 1
21.32239237,520.4703098,Product 1
26.94363797,654.1974057,Product 1
22.63473505,518.2161052,Product 1
33.25089892,782.0125497,Product 1
8.991760111,250.1317278,Product 1
26.87495294,634.5847506,Product 1
21.35802411,488.1708088,Product 1
22.00987431,520.8534562,Product 1
29.12912778,652.0054081,Product 1
16.19129752,383.9562396,Product 1
35.35976059,796.5176848,Product 1
11.18775682,293.9263927,Product 1
16.55584289,414.423028,Product 1
30.33033167,691.9580059,Product 1
12.90066587,339.1095829,Product 1
19.81463838,471.7015569,Product 1
20.93460766,499.4583433,Product 1
23.59102806,542.6080704,Product 1
16.55794796,401.9247923,Product 1
30.66659556,680.0271205,Product 1
9.81251047,258.2868099,Product 1
31.57998903,715.1246952,Product 1
25.42216523,608.9363452,Product 1
25.24114819,574.7106486,Product 1
26.87358624,615.9266502,Product 1
21.42455778,533.3243245,Product 1
23.9638795,578.3604354,Product 1
10.4471261,278.3098441,Product 1
5.822332345,186.4764868,Product 1
16.14582413,395.2737497,Product 1
23.95931178,537.113833,Product 1
9.782380752,228.9010303,Product 1
23.97593152,603.2329422,Product 1
10.09664458,272.8570213,Product 1
22.38760374,493.1154676,Product 1
27.32232277,612.8037704,Product 1
20.24734584,437.2519927,Product 1
23.15300185,506.4937476,Product 1
15.75395072,409.4938476,Product 1
27.57296049,562.7924633,Product 1
18.77682968,402.3984607,Product 1
22.65313582,532.05402,Product 1
17.99302022,413.9140669,Product 1
13.11245224,332.1501054,Product 1
